geoid,Data File Year,STATE,STATEA,COUNTY,County_Code,CensusTractCode,BlockGroupCode,Estimates: Area Name,Total_Population,White_pop,Black_pop, AmericanIndian_pop,Asian_pop,PacificIslander_pop,OtherRace_pop,EduTotal,Edu_8thGrade,Edu_HighSchoolOrGED,Edu_AssociateDegree,Edu_BachelorDegree,Edu_MasterDegree,Edu_ProfDegree,Edu_DoctorateDegree,Median_HH_Income,PerCapita_Income,Workers_Total,Worked_past_year,Worked_FT_past_year,Did_Not_Work
17003107106002,2006-2010,Illinois,17,Cook County,31,710600,2,"Block Group 2, Census Tract 7106, Cook County, Illinois",1038,0,1038,0,0,0,0,609,15,220,0,70,12,0,0,29125,12650,690,352,321,338
17003107107001,2006-2010,Illinois,17,Cook County,31,710700,1,"Block Group 1, Census Tract 7107, Cook County, Illinois",519,0,519,0,0,0,0,322,0,140,11,22,0,22,0,24708,12027,289,191,73,98
17003107107002,2006-2010,Illinois,17,Cook County,31,710700,2,"Block Group 2, Census Tract 7107, Cook County, Illinois",952,38,914,0,0,0,0,491,0,154,73,54,0,0,0,40238,15877,688,452,284,236
17003107107003,2006-2010,Illinois,17,Cook County,31,710700,3,"Block Group 3, Census Tract 7107, Cook County, Illinois",1224,0,1224,0,0,0,0,820,0,256,31,6,54,0,0,27022,16311,737,472,389,265
17003107107004,2006-2010,Illinois,17,Cook County,31,710700,4,"Block Group 4, Census Tract 7107, Cook County, Illinois",809,0,809,0,0,0,0,461,8,66,0,37,16,0,0,34539,20490,463,392,364,71
17003107108001,2006-2010,Illinois,17,Cook County,31,710800,1,"Block Group 1, Census Tract 7108, Cook County, Illinois",947,0,930,0,0,0,0,614,64,23,52,165,24,0,0,47422,20940,544,434,390,110
17003107108002,2006-2010,Illinois,17,Cook County,31,710800,2,"Block Group 2, Census Tract 7108, Cook County, Illinois",783,0,783,0,0,0,0,562,10,169,72,8,0,0,0,49554,19759,513,308,250,205
17003107108003,2006-2010,Illinois,17,Cook County,31,710800,3,"Block Group 3, Census Tract 7108, Cook County, Illinois",1067,0,1067,0,0,0,0,727,16,179,47,50,43,0,0,36591,16479,685,355,284,330
17003107108004,2006-2010,Illinois,17,Cook County,31,710800,4,"Block Group 4, Census Tract 7108, Cook County, Illinois",917,0,885,32,0,0,0,551,0,228,25,13,0,0,0,23333,13019,647,333,185,314
17003107108005,2006-2010,Illinois,17,Cook County,31,710800,5,"Block Group 5, Census Tract 7108, Cook County, Illinois",681,0,681,0,0,0,0,391,0,177,0,57,12,0,0,21583,17338,439,297,229,142
17003107108006,2006-2010,Illinois,17,Cook County,31,710800,6,"Block Group 6, Census Tract 7108, Cook County, Illinois",717,33,671,0,0,0,0,562,4,183,29,108,19,0,0,34610,19750,535,199,122,336
17003107109001,2006-2010,Illinois,17,Cook County,31,710900,1,"Block Group 1, Census Tract 7109, Cook County, Illinois",1042,0,1042,0,0,0,0,363,9,157,37,17,0,0,0,21957,7207,389,279,213,110
17003107109002,2006-2010,Illinois,17,Cook County,31,710900,2,"Block Group 2, Census Tract 7109, Cook County, Illinois",1574,0,1561,0,0,0,13,943,0,204,97,149,95,23,0,50431,21338,1055,810,587,245
17003107110001,2006-2010,Illinois,17,Cook County,31,711000,1,"Block Group 1, Census Tract 7110, Cook County, Illinois",1038,0,1038,0,0,0,0,709,15,193,32,4,27,20,0,35579,24040,710,469,356,241
17003107110002,2006-2010,Illinois,17,Cook County,31,711000,2,"Block Group 2, Census Tract 7110, Cook County, Illinois",1749,45,1682,9,0,0,0,1282,22,689,104,19,20,40,0,31759,14056,1064,499,444,565
17003107110003,2006-2010,Illinois,17,Cook County,31,711000,3,"Block Group 3, Census Tract 7110, Cook County, Illinois",861,27,834,0,0,0,0,520,0,150,55,18,24,0,0,34306,12156,424,258,247,166
17003107111001,2006-2010,Illinois,17,Cook County,31,711100,1,"Block Group 1, Census Tract 7111, Cook County, Illinois",1692,0,1692,0,0,0,0,850,0,333,60,11,12,13,0,40551,9037,932,447,291,485
